Software Developer (Java/.NET/JavaScript)	Tầng 12B tòa nhà Machinco, 444 Hoàng Hoa Thám, Thụy Khuê, Tay Ho, Ha Noi	GrapeCity	https://itviec.com/viec-lam-it/software-developer-java-net-javascript-grapecity-3308?lab_feature=preview_jd_page
5 Jr/Mid Java Developer (Spring/SQL)	Tầng 8, tòa nhà Kim Ánh, 78 Duy Tân, Cau Giay, Ha Noi	Goline Corporation	https://itviec.com/viec-lam-it/5-jr-mid-java-developer-spring-sql-goline-corporation-5140?lab_feature=preview_jd_page
Khối CNTT - Kỹ sư ATTT hệ thống ứng dụng (Java, Python)	Keangnam Landmark Tower 72, Pham Hung, Nam Tu Liem, Hanoi, Nam Tu Liem, Ha Noi	Viettel Group	https://itviec.com/viec-lam-it/khoi-cntt-vtt-ky-su-attt-he-thong-ung-dung-viettel-group-2311?lab_feature=preview_jd_page
Khối CNTT - VTT- Java Engineer (Spring, Oracle)	Keangnam Landmark Tower 72, Pham Hung, Nam Tu Liem, Hanoi, Nam Tu Liem, Ha Noi	Viettel Group	https://itviec.com/viec-lam-it/khoi-cntt-vtt-java-engineer-spring-oracle-viettel-group-2029?lab_feature=preview_jd_page
Senior Fullstack Developer (Java/JavaScript) Upto $3000	206A Nguyen Trai,Trung Van, Nam Tu Liem, Ha Noi	Axlehire	https://itviec.com/viec-lam-it/senior-fullstack-developer-java-javascript-typescript-axlehire-1717?lab_feature=preview_jd_page
Senior Java Developer (Spring)	Coninco Tower 4 Tôn Thất Tùng, Dong Da, Ha Noi	8Seneca	https://itviec.com/viec-lam-it/senior-java-developer-spring-8seneca-3621?lab_feature=preview_jd_page
Middle/Senior Backend Developer (Java Developer)	 Tầng 15, tòa nhà MB – 21 Cát Linh, phường Cát Linh, Dong Da, Ha Noi	MB Ageas Life	https://itviec.com/viec-lam-it/middle-senior-backend-developer-java-developer-mb-ageas-life-4907?lab_feature=preview_jd_page
Java Developer	Tasco Building, HH2-2 Phạm Hùng, Nam Từ Liêm, Hà Nội, Nam Tu Liem, Ha Noi	VETC Viet Nam Joint Stock Company	https://itviec.com/viec-lam-it/java-developer-vetc-viet-nam-joint-stock-company-3733?lab_feature=preview_jd_page
Java Developer (3-4 years)	Level 11, Five Star Tower, 28Bis Mac Dinh Chi Street, Da Kao Ward, District 1, Ho Chi Minh	HCL Vietnam Company Limited	https://itviec.com/viec-lam-it/java-developer-3-4-years-hcl-vietnam-company-limited-1850?lab_feature=preview_jd_page
Java Developer (3-4 years)	Leadvisors Tower, Level 15, 643 Pham Van Dong Street, Co Nhue Ward, Bac Tu Liem, Ha Noi	HCL Vietnam Company Limited	https://itviec.com/viec-lam-it/java-developer-3-4-years-hcl-vietnam-company-limited-1850?lab_feature=preview_jd_page
